Block,baseline_NMI,baseline_AMI,new_model_NMI,new_model_AMI,promotion_NMI,promotion_AMI,baseline_NMI_avg,baseline_AMI_avg,new_model_NMI_avg,new_model_AMI_avg
block_0,0.79,0.68,0.8173607516275103,0.7162654216205463,0.027360751627510282,0.036265421620546245,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_1,0.43,0.41,0.3779536784819099,0.3589205862871578,-0.05204632151809008,-0.05107941371284219,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_2,0.81,0.8,0.8103313308748108,0.7935487870054762,0.0003313308748107424,-0.006451212994523892,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_3,0.78,0.76,0.8480647221845427,0.8352665152178783,0.06806472218454263,0.0752665152178783,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_4,0.71,0.68,0.7770453335567662,0.7541009572402986,0.06704533355676623,0.07410095724029853,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_5,0.75,0.73,0.8137523095884758,0.8003611825033223,0.06375230958847578,0.07036118250332235,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_6,0.83,0.8,0.8807559818503373,0.8604077770064599,0.05075598185033736,0.06040777700645983,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_7,0.57,0.54,0.6073294917374386,0.579360357066348,0.0373294917374386,0.039360357066347995,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_8,0.79,0.75,0.8484781415086106,0.8185683229189838,0.058478141508610526,0.06856832291898385,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_9,0.77,0.75,0.81067549988002,0.7840395916152701,0.04067549988001995,0.03403959161527015,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_10,0.82,0.8,0.8944332846910675,0.8808109289513836,0.07443328469106758,0.08081092895138353,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_11,0.75,0.72,0.8023442678418677,0.7798522144007692,0.05234426784186774,0.059852214400769266,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_12,0.7,0.68,0.8112857981075976,0.7973617320411741,0.11128579810759764,0.11736173204117406,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_13,0.68,0.66,0.7219470884863366,0.6945195202384307,0.04194708848633655,0.034519520238430634,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_14,0.69,0.66,0.7655450052337545,0.7478730785664309,0.07554500523375451,0.0878730785664309,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_15,0.59,0.55,0.6341652565716267,0.5995358791996781,0.04416525657162673,0.04953587919967806,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_16,0.78,0.76,0.790706985260852,0.7672380395852153,0.010706985260852009,0.0072380395852152946,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_17,0.71,0.69,0.7861234324929061,0.7720097849709229,0.0761234324929061,0.08200978497092293,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_18,0.7,0.68,0.7541936601753182,0.7353339347070035,0.05419366017531824,0.05533393470700343,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_19,0.73,0.7,0.8119345384419885,0.795651380077488,0.0819345384419885,0.09565138007748808,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_20,0.73,0.69,0.7787659164042634,0.7374405236250953,0.04876591640426342,0.04744052362509532,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_21,0.6,0.58,0.6387739386525014,0.613810569469637,0.03877393865250145,0.03381056946963701,0.714090909090909,0.6849999999999998,0.7628166551659319,0.737376231105226
block_0,0.79,0.68,0.8184066167678014,0.7193344619195433,0.028406616767801318,0.03933446191954326,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_1,0.43,0.41,0.3878251741080923,0.3690140885234695,-0.042174825891907686,-0.04098591147653047,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_2,0.81,0.8,0.831565200150546,0.8167031939581545,0.02156520015054597,0.01670319395815445,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_3,0.78,0.76,0.8480647221845427,0.8352665152178783,0.06806472218454263,0.0752665152178783,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_4,0.71,0.68,0.7770453335567662,0.7541009572402986,0.06704533355676623,0.07410095724029853,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_5,0.75,0.73,0.819228096727484,0.8064562715043683,0.06922809672748398,0.07645627150436829,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_6,0.83,0.8,0.8807559818503373,0.8604077770064599,0.05075598185033736,0.06040777700645983,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_7,0.57,0.54,0.6073294917374386,0.579360357066348,0.0373294917374386,0.039360357066347995,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_8,0.79,0.75,0.8540357758001484,0.8256617463723752,0.06403577580014841,0.07566174637237522,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_9,0.77,0.75,0.8248745815960177,0.7998668970459472,0.05487458159601766,0.049866897045947156,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_10,0.82,0.8,0.9031704146454044,0.8907129735454399,0.08317041464540442,0.09071297354543983,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_11,0.75,0.72,0.8177253582872684,0.7971248499873921,0.06772535828726844,0.07712484998739211,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_12,0.7,0.68,0.8112857981075976,0.7973617320411741,0.11128579810759764,0.11736173204117406,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_13,0.68,0.66,0.7265289146277923,0.6998408626593176,0.046528914627792295,0.03984086265931752,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_14,0.69,0.66,0.7786877715532363,0.7620680409356126,0.08868777155323637,0.10206804093561261,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_15,0.59,0.55,0.6341652565716267,0.5995358791996781,0.04416525657162673,0.04953587919967806,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_16,0.78,0.76,0.8059779660450185,0.7845352488515531,0.025977966045018452,0.024535248851553115,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_17,0.71,0.69,0.7921081924182813,0.7785464194693215,0.08210819241828138,0.08854641946932151,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_18,0.7,0.68,0.7541936601753182,0.7353339347070035,0.05419366017531824,0.05533393470700343,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_19,0.73,0.7,0.826247294764666,0.8112044604956667,0.09624729476466598,0.11120446049566679,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_20,0.73,0.69,0.7885803505586345,0.7489376251886135,0.05858035055863453,0.05893762518861356,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_21,0.6,0.58,0.6387739386525014,0.613810569469637,0.03877393865250145,0.03381056946963701,0.714090909090909,0.6849999999999998,0.7693898132221146,0.7447811301093297
block_0,0.79,0.68,0.825316603450026,0.7256384683236028,0.03531660345002596,0.04563846832360274,0.714090909090909,0.6849999999999998,0.7663588899907849,0.7413352417085887
block_1,0.43,0.41,0.3779536784819099,0.3589205862871578,-0.05204632151809008,-0.05107941371284219,0.714090909090909,0.6849999999999998,0.7663588899907849,0.7413352417085887
