Block,NMI_min,NMI_max,NMI_mean,AMI_min,AMI_max,AMI_mean
block_0,0.663883,0.668837,0.665675,0.021591,0.027897,0.02557
block_1,0.208597,0.208597,0.208597,0.005574,0.005574,0.005574
block_2,0.61159,0.61159,0.61159,0.27244,0.27244,0.27244
block_3,0.555159,0.555159,0.555159,0.054512,0.054512,0.054512
block_4,0.550865,0.550865,0.550865,0.059402,0.059402,0.059402
block_5,0.544646,0.544646,0.544646,0.102036,0.102036,0.102036
block_6,0.614427,0.614427,0.614427,0.119473,0.119473,0.119473
block_7,0.394624,0.394624,0.394624,0.015429,0.015429,0.015429
block_8,0.643004,0.643004,0.643004,0.099083,0.099083,0.099083
block_9,0.58761,0.58761,0.58761,0.079804,0.079804,0.079804
block_10,0.585702,0.585702,0.585702,0.110382,0.110382,0.110382
block_11,0.541469,0.541469,0.541469,0.070129,0.070129,0.070129
block_12,0.565264,0.565264,0.565264,0.039299,0.039299,0.039299
block_13,0.461629,0.461629,0.461629,0.051157,0.051157,0.051157
block_14,0.510751,0.510751,0.510751,0.039906,0.039906,0.039906
block_15,0.436502,0.436502,0.436502,0.025593,0.025593,0.025593
block_16,0.539992,0.539992,0.539992,0.102983,0.102983,0.102983
block_17,0.489741,0.489741,0.489741,0.055745,0.055745,0.055745
block_18,0.526585,0.526585,0.526585,0.019634,0.019634,0.019634
block_19,0.546298,0.546298,0.546298,0.064879,0.064879,0.064879
block_20,0.611843,0.611843,0.611843,0.051135,0.051135,0.051135
block_21,0.473261,0.473261,0.473261,0.027274,0.027274,0.027274
