Block,Epoch,NMI,AMI,ARI
block_0,0,0.6638830111618902,0.02758674370737781,0.0012812658818391485
block_1,0,0.20859722790642246,0.005574042266214018,2.751545386835134e-05
block_2,0,0.6115898731009831,0.2724400396316696,0.4466400573662165
block_3,0,0.5551590042401833,0.054512165952226826,0.003962489702157106
block_4,0,0.5508654697455935,0.05940151430651018,0.0032567830050606924
block_5,0,0.5446456717513751,0.10203609379929157,0.01947743240211245
block_6,0,0.6144268994383718,0.11947320769956221,0.016280274253238015
block_7,0,0.3946238339034368,0.01542869930421613,0.00020400110401646435
block_8,0,0.6430035881553722,0.09908276758327837,0.016175252932368992
block_9,0,0.5876104922848797,0.07980429580665405,0.007880399190155995
block_10,0,0.5857017964994463,0.11038206692426786,0.014874139050811697
block_11,0,0.541469189205357,0.07012867802401013,0.005128733206908743
block_12,0,0.5652641233334784,0.03929918066914453,0.002834245180651684
block_13,0,0.4616290034145408,0.05115695851930469,0.001612396567686346
block_14,0,0.5107506576600362,0.03990640806113285,0.0026663084502844365
block_15,0,0.43650243240062536,0.025592742526653767,0.0005434848263091403
block_16,0,0.5399921200385722,0.1029830975089605,0.01898975550163228
block_17,0,0.48974050993048346,0.055744531460612146,0.00315449670331573
block_18,0,0.5265846757766722,0.01963416118830176,0.0012807635510448446
block_19,0,0.546298337309358,0.06487852935253935,0.006206316121802964
block_20,0,0.611843217800332,0.051134701965921535,0.005898884457276497
block_21,0,0.4732610908845186,0.027274060982838265,0.0007445184282715246
block_0,0,0.6656748685107309,0.02515522918738839,0.0011639153533540944
block_1,0,0.20859722790642246,0.005574042266214018,2.751545386835134e-05
block_2,0,0.6115898731009831,0.2724400396316696,0.4466400573662165
block_3,0,0.5551590042401833,0.054512165952227,0.003962489702157106
block_4,0,0.5508654697455935,0.05940151430651018,0.0032567830050606924
block_5,0,0.5446456717513751,0.10203609379929157,0.01947743240211245
block_6,0,0.6144268994383718,0.11947320769956221,0.016280274253238015
block_7,0,0.3946238339034368,0.01542869930421613,0.00020400110401646435
block_8,0,0.6430035881553722,0.09908276758327837,0.016175252932368992
block_9,0,0.5876104922848797,0.07980429580665405,0.007880399190155995
block_10,0,0.5857017964994463,0.11038206692426786,0.014874139050811697
block_11,0,0.541469189205357,0.07012867802401013,0.005128733206908743
block_12,0,0.5652641233334784,0.03929918066914453,0.002834245180651684
