Block,baseline_NMI,baseline_AMI,new_model_NMI,new_model_AMI,promotion_NMI,promotion_AMI,baseline_NMI_avg,baseline_AMI_avg,new_model_NMI_avg,new_model_AMI_avg
block_0,0.71,0.64,0.7920861872659615,0.7416245371390634,0.08208618726596151,0.10162453713906339,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_1,0.57,0.56,0.6738248842890224,0.6682093810842646,0.10382488428902248,0.10820938108426459,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_2,0.58,0.57,0.6802474410875297,0.673319644732339,0.1002474410875297,0.10331964473233901,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_3,0.57,0.56,0.6838433236899049,0.6786552483420828,0.11384332368990491,0.11865524834208274,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_4,0.58,0.57,0.6594947636951966,0.6520960819758761,0.07949476369519659,0.08209608197587615,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_5,0.61,0.59,0.7749195731628197,0.7646865146263279,0.1649195731628197,0.1746865146263279,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_6,0.6,0.59,0.7775469940347913,0.7712451492982538,0.17754699403479135,0.18124514929825386,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_7,0.64,0.63,0.7545621361047319,0.7480516951513954,0.11456213610473187,0.11805169515139535,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_8,0.57,0.55,0.8039917355884391,0.794399250002269,0.2339917355884391,0.24439925000226892,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_9,0.52,0.46,0.665204445695499,0.651160128519364,0.14520444569549895,0.19116012851936398,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_10,0.6,0.58,0.7624527426985851,0.7467229762085643,0.16245274269858512,0.16672297620856436,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_11,0.6,0.59,0.7432973255749377,0.7299322089024108,0.14329732557493768,0.13993220890241087,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_12,0.61,0.59,0.8148978714189751,0.8068763497881527,0.20489787141897509,0.21687634978815273,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_13,0.59,0.58,0.8079558801655122,0.8026835239032577,0.21795588016551226,0.22268352390325774,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_14,0.68,0.67,0.8550190430515376,0.8496345717306917,0.1750190430515376,0.17963457173069164,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_15,0.63,0.61,0.7588964743015468,0.7491469816719318,0.12889647430154683,0.13914698167193185,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_16,0.51,0.5,0.6343479232540924,0.6192818437347783,0.12434792325409239,0.11928184373477835,0.598235294117647,0.5788235294117647,0.7436816908870049,0.7322191815771191
block_0,0.71,0.64,0.7846623763793137,0.7302349192370073,0.07466237637931372,0.09023491923700733,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_1,0.57,0.56,0.6593755894304353,0.653517885992596,0.08937558943043533,0.09351788599259592,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_2,0.58,0.57,0.6982486452138623,0.6917753303906453,0.11824864521386236,0.12177533039064536,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_3,0.57,0.56,0.6943112448907373,0.689304776609206,0.1243112448907373,0.12930477660920592,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_4,0.58,0.57,0.6319266574744572,0.6239109497387534,0.05192665747445724,0.05391094973875343,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_5,0.61,0.59,0.751790419025443,0.7404732317142882,0.14179041902544298,0.15047323171428828,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_6,0.6,0.59,0.7875331049504889,0.7814722625349675,0.18753310495048892,0.19147226253496752,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_7,0.64,0.63,0.7718389092473519,0.7657716648612093,0.13183890924735187,0.13577166486120928,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_8,0.57,0.55,0.8077193842830995,0.7983737236179109,0.23771938428309958,0.24837372361791088,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_9,0.52,0.46,0.6621337547596439,0.6479602578597456,0.14213375475964385,0.18796025785974563,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_10,0.6,0.58,0.7626384153617731,0.7468252516560977,0.16263841536177315,0.16682525165609774,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_11,0.6,0.59,0.7686703710606375,0.7565677965101542,0.16867037106063754,0.1665677965101542,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_12,0.61,0.59,0.7949136865497711,0.7860175246183098,0.18491368654977114,0.1960175246183098,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_13,0.59,0.58,0.7946794197826694,0.789046736123498,0.20467941978266946,0.209046736123498,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
block_14,0.68,0.67,0.8882343512701525,0.8840768447145594,0.20823435127015244,0.21407684471455934,0.598235294117647,0.5788235294117647,0.7473936092666758,0.7358808045486235
