NO,Block,baseline_NMI,baseline_AMI,NMI_min,NMI_max,NMI_mean,AMI_min,AMI_max,AMI_mean,promotion_NMI,promotion_AMI,baseline_NMI_all_avg,baseline_AMI_all_avg,NMI_mean_all_avg,AMI_mean_all_avg
0,block_0,0.79,0.68,0.817361,0.825317,0.822292,0.716265,0.726691,0.72269,0.032292,0.04269,0.714091,0.685,0.765761,0.740686
1,block_1,0.43,0.41,0.377954,0.387825,0.380636,0.358921,0.369014,0.361656,-0.049364,-0.048344,0.714091,0.685,0.765761,0.740686
2,block_2,0.81,0.8,0.810331,0.831565,0.816883,0.793549,0.816703,0.800687,0.006883,0.000687,0.714091,0.685,0.765761,0.740686
3,block_3,0.78,0.76,0.848065,0.848065,0.848065,0.835267,0.835267,0.835267,0.068065,0.075267,0.714091,0.685,0.765761,0.740686
4,block_4,0.71,0.68,0.777045,0.780624,0.777761,0.754101,0.757591,0.754799,0.067761,0.074799,0.714091,0.685,0.765761,0.740686
5,block_5,0.75,0.73,0.813752,0.819687,0.816034,0.800361,0.806774,0.802863,0.066034,0.072863,0.714091,0.685,0.765761,0.740686
6,block_6,0.83,0.8,0.880756,0.880756,0.880756,0.860408,0.860408,0.860408,0.050756,0.060408,0.714091,0.685,0.765761,0.740686
7,block_7,0.57,0.54,0.607329,0.607329,0.607329,0.57936,0.57936,0.57936,0.037329,0.03936,0.714091,0.685,0.765761,0.740686
8,block_8,0.79,0.75,0.848478,0.854036,0.851556,0.818568,0.825662,0.822321,0.061556,0.072321,0.714091,0.685,0.765761,0.740686
9,block_9,0.77,0.75,0.810675,0.825226,0.817958,0.78404,0.800193,0.792117,0.047958,0.042117,0.714091,0.685,0.765761,0.740686
10,block_10,0.82,0.8,0.894433,0.90317,0.896341,0.880811,0.890713,0.88293,0.076341,0.08293,0.714091,0.685,0.765761,0.740686
11,block_11,0.75,0.72,0.802344,0.817725,0.808599,0.779852,0.797125,0.787039,0.058599,0.067039,0.714091,0.685,0.765761,0.740686
12,block_12,0.7,0.68,0.811286,0.811286,0.811286,0.797362,0.797362,0.797362,0.111286,0.117362,0.714091,0.685,0.765761,0.740686
13,block_13,0.68,0.66,0.721947,0.726529,0.722972,0.69452,0.699841,0.695616,0.042972,0.035616,0.714091,0.685,0.765761,0.740686
14,block_14,0.69,0.66,0.765545,0.778688,0.76922,0.747873,0.762068,0.751876,0.07922,0.091876,0.714091,0.685,0.765761,0.740686
15,block_15,0.59,0.55,0.634165,0.647207,0.638981,0.599536,0.614382,0.604904,0.048981,0.054904,0.714091,0.685,0.765761,0.740686
16,block_16,0.78,0.76,0.790707,0.810667,0.800827,0.767238,0.789229,0.77843,0.020827,0.01843,0.714091,0.685,0.765761,0.740686
17,block_17,0.71,0.69,0.786123,0.792108,0.78732,0.77201,0.778546,0.773317,0.07732,0.083317,0.714091,0.685,0.765761,0.740686
18,block_18,0.7,0.68,0.754194,0.76004,0.755444,0.735334,0.741628,0.736716,0.055444,0.056716,0.714091,0.685,0.765761,0.740686
19,block_19,0.73,0.7,0.811935,0.826247,0.816982,0.795651,0.811204,0.801187,0.086982,0.101187,0.714091,0.685,0.765761,0.740686
20,block_20,0.73,0.69,0.778766,0.78858,0.780729,0.737441,0.748938,0.73974,0.050729,0.04974,0.714091,0.685,0.765761,0.740686
21,block_21,0.6,0.58,0.638774,0.638774,0.638774,0.613811,0.613811,0.613811,0.038774,0.033811,0.714091,0.685,0.765761,0.740686
